"Year","State","TOTAL.POPULATION","Type","FREE.COLORED.MALES","FREE.COLORED.FEMALES","TOTAL.FREE.COLORED.PERSONS","TOTAL.FREE.COLORED.FEMALES","TOTAL.FREE.COLORED.MALES","TOTAL.FREE.COLORED.POPULATION","WHITE.AND.FREE.COLORED.FAMILIES","AGGR..FREE.COLORED.PERSONS","COLORED.PERSONS","COLORED.MALES","COLORED.FEMALES","TOTAL.COLORED.FEMALES","TOTAL.COLORED.MALES"
1820,"ALABAMA",144317,"State",357,276,633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1820,"CONNECTICUT",275248,"State",3863,4007,7870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1820,"DELAWARE",72749,"State",6479,6479,12958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1820,"GEORGIA",340989,"State",851,912,1763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1820,"ILLINOIS",55211,"State",237,220,457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1820,"INDIANA",147178,"State",654,576,1230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1820,"KENTUCKY",564317,"State",1493,1266,2759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1820,"LOUISIANA",153407,"State",4930,5967,10897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1820,"MAINE",298335,"State",437,492,929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1820,"MARYLAND",407350,"State",18746,20984,39730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1820,"MASSACHUSETTS",523287,"State",3308,3432,6740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1820,"MISSISSIPPI",75448,"State",239,219,458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1820,"MISSOURI",66586,"Territory",186,161,347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1820,"NEW HAMPSHIRE",244161,"State",372,414,786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1820,"NEW JERSEY",277575,"State",6416,6044,12460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1820,"NEW YORK",1372812,"State",13458,15821,29279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1820,"NORTH CAROLINA",638829,"State",7395,7217,14612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1820,"OHIO",581434,"State",2454,2269,4723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1820,"PENNSYLVANIA",1549458,"State",14804,15398,30202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1820,"RHODE ISLAND",83059,"State",1587,1967,3554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1820,"SOUTH CAROLINA",490309,"State",3249,3465,6714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1820,"TENNESSEE",422813,"State",1501,1226,2727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1820,"VERMONT",235764,"State",438,465,903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1820,"VIRGINIA",1065379,"State",17849,19040,36889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
